County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
13 - Imperial,2013-10-15T00:00:00,In Review,"$6,035,000.00 ",0,""
13 - Imperial,2013-10-15T00:00:00,Pending Construction,"$81,500.00 ",0,""
13 - Imperial,2013-10-15T00:00:00,In Construction,"$98,000.00 ",0,""
13 - Imperial,2013-10-15T00:00:00,In Closure,"$508,711.00 ",0,""
14 - Inyo,2013-10-15T00:00:00,In Review,$250.00 ,0,""
14 - Inyo,2013-10-15T00:00:00,Pending Construction,"$39,653.00 ",0,""
14 - Inyo,2013-10-15T00:00:00,In Construction,"$12,300.00 ",0,""
14 - Inyo,2013-10-15T00:00:00,In Closure,"$41,277,251.54 ",0,""
15 - Kern,2013-10-15T00:00:00,In Review,"$7,601,774.00 ",0,""
15 - Kern,2013-10-15T00:00:00,Pending Construction,"$1,112,399.00 ",0,""
15 - Kern,2013-10-15T00:00:00,In Construction,"$67,616,522.00 ",0,""
15 - Kern,2013-10-15T00:00:00,In Closure,"$18,080,038.90 ",0,""
16 - Kings,2013-10-15T00:00:00,In Review,"$395,000.00 ",0,""
16 - Kings,2013-10-15T00:00:00,Pending Construction,"$28,480,000.00 ",0,""
16 - Kings,2013-10-15T00:00:00,In Construction,"$238,722.00 ",0,""
16 - Kings,2013-10-15T00:00:00,In Closure,"$745,484.13 ",0,""
17 - Lake,2013-10-15T00:00:00,In Review,"$243,000.00 ",0,""
17 - Lake,2013-10-15T00:00:00,Pending Construction,"$69,500.00 ",0,""
17 - Lake,2013-10-15T00:00:00,In Construction,"$5,716,410.23 ",0,""
17 - Lake,2013-10-15T00:00:00,In Closure,"$22,628.04 ",0,""
18 - Lassen,2013-10-15T00:00:00,In Review,"$326,000.00 ",0,""
18 - Lassen,2013-10-15T00:00:00,Pending Construction,"$145,120.00 ",0,""
18 - Lassen,2013-10-15T00:00:00,In Construction,"$1,164,643.00 ",0,""
18 - Lassen,2013-10-15T00:00:00,In Closure,$0.00 ,0,""
19 - Los Angeles,2013-10-15T00:00:00,In Review,"$540,770,258.05 ",0,Greater Los Angeles Counties
19 - Los Angeles,2013-10-15T00:00:00,Pending Construction,"$239,778,610.82 ",0,Greater Los Angeles Counties
19 - Los Angeles,2013-10-15T00:00:00,In Construction,"$2,339,586,619.94 ",0,Greater Los Angeles Counties
19 - Los Angeles,2013-10-15T00:00:00,In Closure,"$572,331,968.84 ",0,Greater Los Angeles Counties
20 - Madera,2013-10-15T00:00:00,In Review,"$695,954.00 ",0,""
20 - Madera,2013-10-15T00:00:00,Pending Construction,"$864,400.00 ",0,""
20 - Madera,2013-10-15T00:00:00,In Construction,"$4,080,108.00 ",0,""
20 - Madera,2013-10-15T00:00:00,In Closure,"$16,550,933.52 ",0,""
21 - Marin,2013-10-15T00:00:00,In Review,"$178,992,915.00 ",0,Bay Area Counties
