COUNTRY_CODE,SEX,AGE,TIME,RES_POP,pop
DE,M,Y_GE85,2011,1000-9999,119794
DE,M,Y_GE85,2011,10000-99999,134714
DE,M,Y_GE85,2011,100000-499999,59643
DE,M,Y_GE85,2011,500000-999999,31980
DE,M,Y_GE85,2011,GE1000000,85452
DE,M,Y_LT15,2011,0-1000,677490
DE,M,Y_LT15,2011,1000-9999,1505092
DE,M,Y_LT15,2011,10000-99999,1396140
DE,M,Y_LT15,2011,100000-499999,605758
DE,M,Y_LT15,2011,500000-999999,342086
DE,M,Y_LT15,2011,GE1000000,1018635
DE,M,Y15-29,2011,0-1000,785819
DE,M,Y15-29,2011,1000-9999,1732168
DE,M,Y15-29,2011,10000-99999,1762703
DE,M,Y15-29,2011,100000-499999,911240
DE,M,Y15-29,2011,500000-999999,459324
DE,M,Y15-29,2011,GE1000000,1325718
DE,M,Y30-49,2011,0-1000,1400088
DE,M,Y30-49,2011,1000-9999,2932285
DE,M,Y30-49,2011,10000-99999,2801080
DE,M,Y30-49,2011,100000-499999,1325113
DE,M,Y30-49,2011,500000-999999,759407
DE,M,Y30-49,2011,GE1000000,2302122
DE,M,Y50-64,2011,0-1000,1094198
DE,M,Y50-64,2011,1000-9999,2221814
DE,M,Y50-64,2011,10000-99999,2039451
DE,M,Y50-64,2011,100000-499999,855889
DE,M,Y50-64,2011,500000-999999,463725
DE,M,Y50-64,2011,GE1000000,1406265
DE,M,Y65-84,2011,0-1000,771365
DE,M,Y65-84,2011,1000-9999,1708335
DE,M,Y65-84,2011,10000-99999,1736198
DE,M,Y65-84,2011,100000-499999,734843
DE,M,Y65-84,2011,500000-999999,403849
DE,M,Y65-84,2011,GE1000000,1184571
DK,F,Y_GE85,2011,0-1000,8856
DK,F,Y_GE85,2011,1000-9999,20967
DK,F,Y_GE85,2011,10000-99999,21968
DK,F,Y_GE85,2011,100000-499999,7417
DK,F,Y_GE85,2011,500000-999999,0
DK,F,Y_GE85,2011,GE1000000,17735
DK,F,Y_LT15,2011,0-1000,106927
DK,F,Y_LT15,2011,1000-9999,112007
DK,F,Y_LT15,2011,10000-99999,129270
DK,F,Y_LT15,2011,100000-499999,39249
DK,F,Y_LT15,2011,500000-999999,0
DK,F,Y_LT15,2011,GE1000000,97927
DK,F,Y15-29,2011,0-1000,76850
DK,F,Y15-29,2011,1000-9999,78407
DK,F,Y15-29,2011,10000-99999,130078
DK,F,Y15-29,2011,100000-499999,74129
DK,F,Y15-29,2011,500000-999999,0
DK,F,Y15-29,2011,GE1000000,134637
DK,F,Y30-49,2011,0-1000,155519
DK,F,Y30-49,2011,1000-9999,163979
DK,F,Y30-49,2011,10000-99999,201751
DK,F,Y30-49,2011,100000-499999,65378
DK,F,Y30-49,2011,500000-999999,0
DK,F,Y30-49,2011,GE1000000,180074
DK,F,Y50-64,2011,0-1000,120485
DK,F,Y50-64,2011,1000-9999,126983
DK,F,Y50-64,2011,10000-99999,149040
DK,F,Y50-64,2011,100000-499999,44286
DK,F,Y50-64,2011,500000-999999,0
DK,F,Y50-64,2011,GE1000000,100073
DK,F,Y65-84,2011,0-1000,75379
DK,F,Y65-84,2011,1000-9999,116123
DK,F,Y65-84,2011,10000-99999,130381
DK,F,Y65-84,2011,100000-499999,35516
DK,F,Y65-84,2011,500000-999999,0
DK,F,Y65-84,2011,GE1000000,82655
DK,M,Y_GE85,2011,0-1000,5875
DK,M,Y_GE85,2011,1000-9999,9834
DK,M,Y_GE85,2011,10000-99999,9358
DK,M,Y_GE85,2011,100000-499999,2752
DK,M,Y_GE85,2011,500000-999999,0
DK,M,Y_GE85,2011,GE1000000,6554
DK,M,Y_LT15,2011,0-1000,113019
DK,M,Y_LT15,2011,1000-9999,117607
DK,M,Y_LT15,2011,10000-99999,135079
DK,M,Y_LT15,2011,100000-499999,40620
DK,M,Y_LT15,2011,500000-999999,0
DK,M,Y_LT15,2011,GE1000000,103382
DK,M,Y15-29,2011,0-1000,88704
DK,M,Y15-29,2011,1000-9999,85285
DK,M,Y15-29,2011,10000-99999,136888
DK,M,Y15-29,2011,100000-499999,72448
DK,M,Y15-29,2011,500000-999999,0
DK,M,Y15-29,2011,GE1000000,128047
DK,M,Y30-49,2011,0-1000,163861
DK,M,Y30-49,2011,1000-9999,157953
DK,M,Y30-49,2011,10000-99999,202012
DK,M,Y30-49,2011,100000-499999,68511
DK,M,Y30-49,2011,500000-999999,0
DK,M,Y30-49,2011,GE1000000,186553
DK,M,Y50-64,2011,0-1000,133984
DK,M,Y50-64,2011,1000-9999,122936
DK,M,Y50-64,2011,10000-99999,142771
DK,M,Y50-64,2011,100000-499999,42420
DK,M,Y50-64,2011,500000-999999,0
DK,M,Y50-64,2011,GE1000000,97718
DK,M,Y65-84,2011,0-1000,85792
DK,M,Y65-84,2011,1000-9999,98322
DK,M,Y65-84,2011,10000-99999,106285
DK,M,Y65-84,2011,100000-499999,28143
DK,M,Y65-84,2011,500000-999999,0
DK,M,Y65-84,2011,GE1000000,63869
EE,F,Y_GE85,2011,0-1000,712
EE,F,Y_GE85,2011,1000-9999,6924
EE,F,Y_GE85,2011,10000-99999,5537
EE,F,Y_GE85,2011,100000-499999,5216
EE,F,Y_GE85,2011,500000-999999,0
EE,F,Y_GE85,2011,GE1000000,0
EE,F,Y_LT15,2011,0-1000,2260
EE,F,Y_LT15,2011,1000-9999,35326
EE,F,Y_LT15,2011,10000-99999,31952
EE,F,Y_LT15,2011,100000-499999,27465
EE,F,Y_LT15,2011,500000-999999,0
EE,F,Y_LT15,2011,GE1000000,0
EE,F,Y15-29,2011,0-1000,2314
EE,F,Y15-29,2011,1000-9999,36825
EE,F,Y15-29,2011,10000-99999,41494
EE,F,Y15-29,2011,100000-499999,43633
EE,F,Y15-29,2011,500000-999999,0
EE,F,Y15-29,2011,GE1000000,0
EE,F,Y30-49,2011,0-1000,3790
EE,F,Y30-49,2011,1000-9999,57735
